,Majority,MIA,Weighted,Trinary,TrinaryMia
0.0,0.2817677245929493,0.2817677245929493,0.2817677245929493,0.2817677245929493,0.2817677245929493
0.1,0.3015716555869722,0.2987981440587783,0.327117342090972,0.3104250853631271,0.3502693569391336
0.2,0.3250936928881007,0.3686861798339592,0.3284863974432632,0.3124503409860454,0.4197260324142535
0.3,0.3915576196517933,0.363692274197783,0.3463794154950757,0.2988101987678428,0.3136807188110996
0.4,0.4171360646971554,0.4121256188047378,0.3924815611393332,0.3111527844744113,0.3126274536005111
0.5,0.439886275942224,0.4690875997699467,0.4401640569671917,0.3822418763408831,0.3045639373687631
0.6,0.5013005684952462,0.504573078761171,0.4865813488237268,0.3559175789579489,0.3990096939661728
0.7,0.5819547190951033,0.5019648213644352,0.5645376174976332,0.4543303860462488,0.5032607966460156
0.8,0.6662568742307511,0.7000578969749623,0.6065327725590137,0.6662568742307511,0.6750174653502892
0.9,0.6662568742307511,0.6662568742307511,0.6474428621661693,0.6662568742307511,0.6662568742307511
