,Majority,MIA,Weighted,Trinary,TrinaryMia
0.0,72.38729753344847,72.38729753344847,72.38729753344847,72.38729753344847,72.38729753344847
0.1,90.69447204666182,73.88411668744743,80.23675944019439,76.728609005807,75.93968182231184
0.2,83.88332476865455,78.66397220431934,78.18337253277006,75.12077120628251,77.07203362264376
0.3,90.20887231044908,92.96829453528076,84.76873891921197,86.87142177786765,72.5063925202557
0.4,96.28293410414028,90.9217097467739,87.55603457817935,96.60490704180836,67.41724526439315
0.5,90.44994614892552,99.48404088734009,89.26137241542253,90.92177330403555,73.24034074400221
0.6,92.79208590973955,98.9056015393732,90.9710386739789,89.37070831165997,86.69589822260784
0.7,98.82877205643108,97.95045004650056,94.9536490604198,97.20362035238466,96.42505432857573
0.8,97.03104699042298,97.53512237667722,96.2005881698478,97.03104699042298,97.84142402739688
0.9,97.03104699042298,97.03104699042298,97.23086542709912,97.03104699042298,97.03104699042298
