,Majority,MIA,Weighted,Trinary
0.0,0.2817677245929493,0.2817677245929493,0.2817677245929493,0.2817677245929493
0.1,0.30157165558697224,0.2987981440587783,0.32711734209097204,0.31042508536312713
0.2,0.3250936928881007,0.36868617983395924,0.32848639744326324,0.31245034098604546
0.3,0.39155761965179336,0.36369227419778305,0.3463794154950757,0.2988101987678428
0.4,0.4171360646971554,0.41212561880473786,0.3924815611393332,0.31115278447441136
0.5,0.43988627594222407,0.46908759976994674,0.4401640569671917,0.3822418763408831
0.6,0.5013005684952462,0.504573078761171,0.4865813488237268,0.35591757895794895
0.7,0.5819547190951033,0.5019648213644352,0.5645376174976332,0.45433038604624887
0.8,0.6662568742307511,0.7000578969749623,0.6065327725590137,0.6662568742307511
0.9,0.6662568742307511,0.6662568742307511,0.6474428621661693,0.6662568742307511
