,Majority,MIA,Weighted,Trinary
0.0,40.833066234200224,40.833066234200224,40.833066234200224,40.833066234200224
0.1,53.53283510098692,391.6780334290841,62.31752500403551,40.73645941037502
0.2,137.76568773084287,123.80743573529539,64.21494157613301,34.238047116621146
0.3,308.6735663488364,76.84161735138491,86.86684971737091,163.68014735371193
0.4,174.5694093271336,92.13682355381398,103.2633898338484,38.218949369001415
0.5,123.06532864912369,110.8076161728281,113.67074472571335,329.1646816373113
0.6,205.02226762476158,138.32994957766937,140.7318822183771,173.10868333535575
0.7,159.43480791344078,162.83108350642044,151.21102282351433,212.8408283748878
0.8,164.7918433002162,169.2945963041098,158.18727794046248,164.7918433002162
0.9,164.7918433002162,164.7918433002162,163.5235296403728,164.7918433002162
