,Majority,MIA,Weighted,Trinary
0.0,72.38729753344847,72.38729753344847,72.38729753344847,72.38729753344847
0.1,90.69447204666182,73.88411668744743,80.23675944019439,76.728609005807
0.2,83.88332476865455,78.66397220431934,78.18337253277006,75.12077120628251
0.3,90.20887231044908,92.96829453528075,84.76873891921197,86.87142177786765
0.4,96.28293410414028,90.9217097467739,87.55603457817935,96.60490704180836
0.5,90.44994614892553,99.48404088734007,89.26137241542253,90.92177330403557
0.6,92.79208590973955,98.9056015393732,90.9710386739789,89.37070831165997
0.7,98.82877205643109,97.95045004650055,94.9536490604198,97.20362035238466
0.8,97.03104699042298,97.53512237667722,96.20058816984779,97.03104699042298
0.9,97.03104699042298,97.03104699042298,97.23086542709913,97.03104699042298
