,majority,mia,trinary,weighted
0.0,14.370199019247778,14.370199019247778,14.370199019247778,14.370199019247778
0.25,23.642633467032333,29.483862727004276,14.916831814329782,24.08472995046129
0.5,24.919092644849147,29.421971112916722,18.668879898365994,25.876019445510924
0.75,29.35184922799153,29.356244823623467,29.35184922799153,28.3016002947768
