tree_type,0.0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,0.99
majority,24639892.442764785,24742552.771016415,24820185.788279388,24878907.93449536,24920334.58118719,24948037.021717384,24975680.49416542,24988656.059398785,25014110.906839427,25035391.66976865,25045988.92998004
mia,24639892.442764785,24752145.34520884,24823604.055016752,24878257.882923234,24929438.81803094,24953445.570801962,24981796.05220171,24998403.966838285,25021560.598611474,25039891.129520893,25045936.625925746
weighted,24639892.442764785,24733261.257033408,24814718.00352435,24882129.186428685,24928370.917581655,24961884.191242676,24993666.3386503,25015412.089076165,25034032.823033325,25045683.213802367,25049649.64976491
trinary,24639892.442764785,24724044.78437883,24806672.348813675,24863908.80271696,24913760.100817055,24945894.15284447,24974882.817057047,24993064.590863366,25017752.899297178,25039147.718478758,25046372.479539827
