,majority,mia,trinary,weighted
0.0,10.780767358475387,10.780767358475387,10.780767358475387,10.780767358475387
0.25,13.183799535918434,13.644886315332528,13.45193478147676,12.550386583095323
0.5,16.083725918514883,19.89780099021666,14.939633111166641,15.25936659453241
0.75,19.169717687340743,19.348214175884415,19.169717687340743,18.75422377110811
