,majority,mia,trinary,weighted
0.0,24855651.591545735,24855651.591545735,24855651.591545735,24855651.591545735
0.25,24903666.99281961,24902911.459494777,24896060.303249147,24894697.144242115
0.5,24955433.497623585,24955609.844700716,24969208.849955544,24966718.130353425
0.75,25048153.76486948,25035751.509581197,25046356.639287714,25026379.777649097
