data_set,missingness,Majority,MIA,Weighted,Trinary
life_expectancy,0.0,13.729348027832337,13.729348027832337,13.729348027832337,13.729348027832337
life_expectancy,0.2,37.76636448745547,36.783876036120546,25.90625515965642,25.414975767672868
life_expectancy,0.5,49.970678483174076,48.664729360269014,43.43679030247798,23.9131102764307
