,MIA,Trinary
0.0,73.55623513892486,73.55623513892486
0.1,89.08453071845628,81.46324930093247
0.2,88.56815137936896,73.77953011924639
0.3,84.58737995072958,81.44704065317438
0.4,,85.96395756194353
