,Majority,MIA,Weighted,Trinary,TrinaryMia
0.0,0.2817677245929493,0.2817677245929493,0.2817677245929493,0.2817677245929493,0.2817677245929493
0.1,0.3831781435165297,0.29804913162812513,0.35335916246469756,0.36520255294788423,0.29804913162812513
0.2,0.3181914638446222,0.278400890422095,0.5600571146448012,0.45192508527013786,0.278400890422095
0.3,0.28193215584633186,0.3104623768655605,0.5458133542518585,0.385716978721588,0.3104623768655605
0.4,0.29830674155042697,0.26150251755391996,0.5174806663139198,0.33058399818629164,0.25040193648066705
0.5,0.44390804057870803,0.42004166367767487,0.6066317402930916,0.39445994207450463,0.425519679895767
0.6,0.5639706576732123,0.4299621298450255,0.670573610797391,0.4969178783480951,0.4299621298450255
0.7,0.604180508581044,0.5041224648674295,0.6650714868064372,0.5475291506933967,0.5041224648674295
0.8,0.6662568742307511,0.5770931145975398,0.6697557449793065,0.6662568742307511,0.5770931145975398
0.9,0.6662568742307511,0.6662568742307511,0.6690541886042813,0.6662568742307511,0.6662568742307511
