,Majority,MIA,Weighted,Trinary,TrinaryMia
0.0,13.729348027832337,13.729348027832337,13.729348027832337,13.729348027832337,13.729348027832337
0.1,18.982052602458793,14.898084429795576,16.96778714167256,17.321944731439114,13.839486466485843
0.2,16.183486736927737,15.276417402027896,17.566752577367094,18.358053652418064,14.24303921926722
0.3,16.183486736927737,15.168965134868388,21.67441899695106,20.70971997460872,14.135586952107715
0.4,16.302843526766463,13.882355540487675,32.44657602228279,20.53554846000627,13.056214947208616
0.5,19.8845846180726,15.655503473253749,47.89769827127052,21.64672707510697,15.655503473253749
0.6,23.954289786290907,17.381386394184727,59.89585836547895,20.525117560425578,17.381386394184727
0.7,65.82944538553552,18.773743898943145,66.43999028148667,71.48431638909443,18.773743898943145
0.8,70.10550222685607,20.213840364470563,70.04129020922515,70.10550222685607,20.213840364470563
0.9,70.10550222685607,70.10550222685607,69.94082933244381,70.10550222685607,70.10550222685607
