,Majority,MIA,Weighted,Trinary,TrinaryMia
0.0,72.38729753344847,72.38729753344847,72.38729753344847,72.38729753344847,72.38729753344847
0.1,94.54372108658647,72.38729753344847,81.19168606260752,80.90578005965965,80.90578005965965
0.2,82.78206988964229,81.43230894820442,86.39907702544203,77.07662798071928,77.07662798071928
0.3,88.17736249146506,87.40560422108261,88.10836405658058,90.10975457942122,90.10975457942122
0.4,94.3076882366253,87.40560422108261,91.38491917073576,90.67178922831967,90.67178922831967
0.5,83.28753879638913,87.92401158272618,95.39977552390222,88.67453963805781,88.67125769257892
0.6,85.34689754251825,86.81483334299304,97.35040731950713,87.94602630351002,87.42498988338161
0.7,96.46431272771699,82.87676392561016,96.49285369475476,96.6181579933434,81.92026691400392
0.8,97.03104699042298,85.13061536219122,95.99868805309539,97.03104699042298,85.13061536219122
0.9,97.03104699042298,97.03104699042298,96.12474557988484,97.03104699042298,97.03104699042298
