,Majority,MIA,Weighted,Trinary,TrinaryMia
0.0,21.932669405866655,21.932669405866655,21.932669405866655,21.932669405866655,21.932669405866655
0.1,21.20316977163831,20.656595271129575,25.670769651292396,21.39994221872137,20.720792985608217
0.2,21.814543078971298,21.0997374862471,27.18313412660622,21.47807067719576,20.979029006084193
0.3,21.375408443817314,21.568740603210355,38.485052030812525,22.074018578769248,21.56925393568991
0.4,22.965532664085178,21.76657935560956,41.677111190046574,24.953660917406843,21.35145167217064
0.5,23.40252666063402,22.02438336227069,46.68846767219678,26.398004617399717,21.469307572758794
0.6,23.761586040514857,21.55176502276886,53.216689253094785,33.185183958495394,21.718796498093035
0.7,29.431561924803617,23.07728072185469,60.84863781585505,33.41221076652695,23.595351674983924
0.8,30.41753703120636,25.43598254479926,77.15471960412798,34.34702090796759,29.259082922012134
0.9,50.375850087182975,36.067481007257875,82.91227687658261,36.31574112783523,35.33819796209777
